更新时间,#genre#
2024-10-12 10:45:10,url
☘️北京频道,#genre#
北京新闻,http://123.56.129.203:4310/rtp/225.1.8.129:8002
北京新闻,http://124.205.11.242:91/live/BTVXWhd-5M/live.m3u8
北京新闻,http://bjlive.u.pthv.gitv.tv:91/live/BTVXWhd-5M/live.m3u8
北京生活,http://123.56.129.203:4310/rtp/225.1.8.127:8002
北京生活,http://124.205.11.239:91/live/BTVSHhd-5M/live.m3u8
北京生活,http://124.205.11.242:91/live/BTVSHhd-5M/live.m3u8
北京生活,http://bjlive.u.pthv.gitv.tv:91/live/BTVSHhd-5M/live.m3u8
北京科教,http://123.56.129.203:4310/rtp/225.1.8.123:8002
北京财经,http://123.56.129.203:4310/rtp/225.1.8.125:8002
北京财经,http://bjlive.u.pthv.gitv.tv:91/live/BTVCJhd-5M/live.m3u8
北京青年,http://123.56.129.203:4310/rtp/225.1.8.128:8002
卡酷少儿,http://118.183.212.29:6868/rtp/239.255.29.38:8231$1920x1080
卡酷少儿,http://59.174.98.235:8880/rtp/239.69.1.193:10800$1920x1080
卡酷少儿,http://59.174.227.133:8880/rtp/239.69.1.193:10800$1920x1080
卡酷少儿,http://180.158.191.162:9999/rtp/239.45.0.8:5140$1920x1080
卡酷少儿,http://218.78.180.91:9999/rtp/239.45.0.8:5140$1920x1080
卡酷少儿,http://101.81.119.90:8888/rtp/239.45.0.8:5140$1920x1080
卡酷少儿,http://119.98.99.124:5555/rtp/239.69.1.193:10800$1920x1080
卡酷少儿,http://112.226.139.185:9999/rtp/239.253.254.66:8000$1920x1080
卡酷少儿,http://1.69.74.111:9902/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://1.69.2.100:9902/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://139.196.151.191:2051/rtp/239.45.0.8:5140
卡酷少儿,http://iptvcyp.top:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://111.61.236.247:9081/hls/65/index.m3u8
卡酷少儿,https://stream1.freetv.fun/dcbc7525aff33fe5ac2363981c8fc101d4f0d9d7cd0796427ac956214b9230a4.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225654/index.m3u8
卡酷少儿,http://121.24.98.127:8090/hls/83/index.m3u8
卡酷少儿,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
卡酷少儿,http://110.53.218.182:9902/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://125.93.74.27:9002/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://124.205.11.242:91/live/BTVKKhd-5M/live.m3u8
